Frame: 141 || Prediction: 999 || Confidence: 20.87 || PSafe: 0.94 
Frame: 142 || Prediction: 999 || Confidence: 20.00 || PSafe: 0.94 
Frame: 143 || Prediction: 999 || Confidence: 19.84 || PSafe: 0.94 
Frame: 144 || Prediction: 999 || Confidence: 21.93 || PSafe: 0.94 
Frame: 145 || Prediction: 999 || Confidence: 30.44 || PSafe: 0.94 
Frame: 146 || Prediction: 999 || Confidence: 36.27 || PSafe: 0.94 
Frame: 147 || Prediction: 999 || Confidence: 34.58 || PSafe: 0.94 
Frame: 148 || Prediction: 999 || Confidence: 34.96 || PSafe: 0.94 
Frame: 149 || Prediction: 999 || Confidence: 31.80 || PSafe: 0.94 
Frame: 150 || Prediction: 999 || Confidence: 29.93 || PSafe: 0.94 
Frame: 151 || Prediction: 999 || Confidence: 22.17 || PSafe: 0.94 
Frame: 152 || Prediction: 999 || Confidence: 22.80 || PSafe: 0.94 
Frame: 153 || Prediction: 999 || Confidence: 32.60 || PSafe: 0.94 
Frame: 154 || Prediction: 999 || Confidence: 30.55 || PSafe: 0.94 
Frame: 155 || Prediction: 999 || Confidence: 22.09 || PSafe: 0.94 
Frame: 156 || Prediction: 999 || Confidence: 20.73 || PSafe: 0.94 
Frame: 157 || Prediction: 999 || Confidence: 27.46 || PSafe: 0.94 
Frame: 158 || Prediction: 999 || Confidence: 19.44 || PSafe: 0.94 
Frame: 159 || Prediction: 999 || Confidence: 24.86 || PSafe: 0.94 
Frame: 160 || Prediction: 999 || Confidence: 22.85 || PSafe: 0.94 
Frame: 161 || Prediction: 999 || Confidence: 20.94 || PSafe: 0.94 
Frame: 162 || Prediction: 999 || Confidence: 19.81 || PSafe: 0.94 
Frame: 163 || Prediction: 999 || Confidence: 19.43 || PSafe: 0.94 
Frame: 164 || Prediction: 999 || Confidence: 18.99 || PSafe: 0.94 
Frame: 165 || Prediction: 999 || Confidence: 30.37 || PSafe: 0.94 
Frame: 166 || Prediction: 999 || Confidence: 19.31 || PSafe: 0.94 
Frame: 167 || Prediction: 999 || Confidence: 20.00 || PSafe: 0.94 
Frame: 168 || Prediction: 999 || Confidence: 23.71 || PSafe: 0.94 
Frame: 169 || Prediction: 999 || Confidence: 22.64 || PSafe: 0.94 
Frame: 170 || Prediction: 999 || Confidence: 21.02 || PSafe: 0.94 
Frame: 171 || Prediction: 999 || Confidence: 19.72 || PSafe: 0.94 
Frame: 172 || Prediction: 999 || Confidence: 19.04 || PSafe: 0.94 
Frame: 173 || Prediction: 999 || Confidence: 21.15 || PSafe: 0.94 
Frame: 174 || Prediction: 999 || Confidence: 22.93 || PSafe: 0.94 
Frame: 175 || Prediction: 999 || Confidence: 23.40 || PSafe: 0.94 
Frame: 176 || Prediction: 999 || Confidence: 21.62 || PSafe: 0.95 
Frame: 177 || Prediction: 999 || Confidence: 20.15 || PSafe: 0.95 
Frame: 178 || Prediction: 999 || Confidence: 21.78 || PSafe: 0.95 
Frame: 179 || Prediction: 999 || Confidence: 23.15 || PSafe: 0.95 
Frame: 180 || Prediction: 999 || Confidence: 25.91 || PSafe: 0.95 
Frame: 181 || Prediction: 999 || Confidence: 29.34 || PSafe: 0.95 
Frame: 182 || Prediction: 999 || Confidence: 26.41 || PSafe: 0.95 
Frame: 183 || Prediction: 999 || Confidence: 30.77 || PSafe: 0.95 
Frame: 184 || Prediction: 999 || Confidence: 30.59 || PSafe: 0.95 
Frame: 185 || Prediction: 999 || Confidence: 38.99 || PSafe: 0.94 
Frame: 186 || Prediction: 999 || Confidence: 34.64 || PSafe: 0.94 
Frame: 187 || Prediction: 999 || Confidence: 32.95 || PSafe: 0.94 
Frame: 188 || Prediction: 999 || Confidence: 25.09 || PSafe: 0.94 
Frame: 189 || Prediction: 999 || Confidence: 25.40 || PSafe: 0.94 
Frame: 190 || Prediction: 999 || Confidence: 23.14 || PSafe: 0.94 
Frame: 191 || Prediction: 999 || Confidence: 19.39 || PSafe: 0.94 
Frame: 192 || Prediction: 999 || Confidence: 20.34 || PSafe: 0.94 
Frame: 193 || Prediction: 999 || Confidence: 19.43 || PSafe: 0.94 
Frame: 194 || Prediction: 999 || Confidence: 25.18 || PSafe: 0.94 
Frame: 195 || Prediction: 999 || Confidence: 22.01 || PSafe: 0.94 
Frame: 196 || Prediction: 999 || Confidence: 23.11 || PSafe: 0.94 
Frame: 197 || Prediction: 999 || Confidence: 22.56 || PSafe: 0.94 
Frame: 198 || Prediction: 999 || Confidence: 31.86 || PSafe: 0.94 
Frame: 199 || Prediction: 999 || Confidence: 22.81 || PSafe: 0.94 
Frame: 200 || Prediction: 999 || Confidence: 28.87 || PSafe: 0.94 
Frame: 201 || Prediction: 999 || Confidence: 24.18 || PSafe: 0.94 
Frame: 202 || Prediction: 999 || Confidence: 25.27 || PSafe: 0.94 
Frame: 203 || Prediction: 999 || Confidence: 25.53 || PSafe: 0.94 
Frame: 204 || Prediction: 999 || Confidence: 43.03 || PSafe: 0.94 
Frame: 205 || Prediction: 999 || Confidence: 32.39 || PSafe: 0.94 
Frame: 206 || Prediction: 999 || Confidence: 20.76 || PSafe: 0.94 
Frame: 207 || Prediction: 999 || Confidence: 20.06 || PSafe: 0.94 
Frame: 208 || Prediction: 999 || Confidence: 19.70 || PSafe: 0.94 
Frame: 209 || Prediction: 999 || Confidence: 20.42 || PSafe: 0.94 
Frame: 210 || Prediction: 999 || Confidence: 28.66 || PSafe: 0.94 
Frame: 211 || Prediction: 999 || Confidence: 25.72 || PSafe: 0.94 
Frame: 212 || Prediction: 999 || Confidence: 25.80 || PSafe: 0.94 
Frame: 213 || Prediction: 999 || Confidence: 20.41 || PSafe: 0.94 
Frame: 214 || Prediction: 999 || Confidence: 29.92 || PSafe: 0.94 
Frame: 215 || Prediction: 999 || Confidence: 29.01 || PSafe: 0.94 
Frame: 216 || Prediction: 999 || Confidence: 25.70 || PSafe: 0.94 
Frame: 217 || Prediction: 999 || Confidence: 30.23 || PSafe: 0.94 
Frame: 218 || Prediction: 999 || Confidence: 20.58 || PSafe: 0.94 
Frame: 219 || Prediction: 999 || Confidence: 25.83 || PSafe: 0.94 
Frame: 220 || Prediction: 999 || Confidence: 24.52 || PSafe: 0.94 
Frame: 221 || Prediction: 999 || Confidence: 23.11 || PSafe: 0.94 
Frame: 222 || Prediction: 999 || Confidence: 24.43 || PSafe: 0.94 
Frame: 223 || Prediction: 999 || Confidence: 22.56 || PSafe: 0.94 
Frame: 224 || Prediction: 999 || Confidence: 22.64 || PSafe: 0.94 
Frame: 225 || Prediction: 999 || Confidence: 28.85 || PSafe: 0.94 
Frame: 226 || Prediction: 999 || Confidence: 22.41 || PSafe: 0.94 
Frame: 227 || Prediction: 999 || Confidence: 22.20 || PSafe: 0.94 
Frame: 228 || Prediction: 999 || Confidence: 21.50 || PSafe: 0.94 
Frame: 229 || Prediction: 999 || Confidence: 22.77 || PSafe: 0.94 
Frame: 230 || Prediction: 999 || Confidence: 21.64 || PSafe: 0.94 
Frame: 231 || Prediction: 999 || Confidence: 31.77 || PSafe: 0.94 
Frame: 232 || Prediction: 999 || Confidence: 17.43 || PSafe: 0.94 
Frame: 233 || Prediction: 999 || Confidence: 20.06 || PSafe: 0.94 
Frame: 234 || Prediction: 999 || Confidence: 17.93 || PSafe: 0.94 
Frame: 235 || Prediction: 999 || Confidence: 17.61 || PSafe: 0.94 
Frame: 236 || Prediction: 999 || Confidence: 17.68 || PSafe: 0.94 
Frame: 237 || Prediction: 999 || Confidence: 57.33 || PSafe: 0.94 
Frame: 238 || Prediction: 999 || Confidence: 32.23 || PSafe: 0.93 
Frame: 239 || Prediction: 999 || Confidence: 24.95 || PSafe: 0.93 
Frame: 240 || Prediction: 999 || Confidence: 33.68 || PSafe: 0.93 
Frame: 241 || Prediction: 999 || Confidence: 33.79 || PSafe: 0.93 
Frame: 242 || Prediction: 999 || Confidence: 38.84 || PSafe: 0.93 
Frame: 243 || Prediction: 999 || Confidence: 42.32 || PSafe: 0.93 
Frame: 244 || Prediction: 999 || Confidence: 28.55 || PSafe: 0.93 
Frame: 245 || Prediction: 999 || Confidence: 31.45 || PSafe: 0.93 
Frame: 246 || Prediction: 999 || Confidence: 31.43 || PSafe: 0.93 
Frame: 247 || Prediction: 999 || Confidence: 31.43 || PSafe: 0.93 
Frame: 248 || Prediction: 999 || Confidence: 17.04 || PSafe: 0.93 
Frame: 249 || Prediction: 999 || Confidence: 19.87 || PSafe: 0.93 
Frame: 250 || Prediction: 999 || Confidence: 19.79 || PSafe: 0.93 
Frame: 251 || Prediction: 999 || Confidence: 25.12 || PSafe: 0.93 
Frame: 252 || Prediction: 999 || Confidence: 28.82 || PSafe: 0.93 
Frame: 253 || Prediction: 999 || Confidence: 27.86 || PSafe: 0.93 
Frame: 254 || Prediction: 999 || Confidence: 29.42 || PSafe: 0.93 
Frame: 255 || Prediction: 999 || Confidence: 20.55 || PSafe: 0.93 
Frame: 256 || Prediction: 999 || Confidence: 29.43 || PSafe: 0.93 
Frame: 257 || Prediction: 999 || Confidence: 17.50 || PSafe: 0.93 
Frame: 258 || Prediction: 999 || Confidence: 21.68 || PSafe: 0.93 
Frame: 259 || Prediction: 999 || Confidence: 20.14 || PSafe: 0.93 
Frame: 260 || Prediction: 999 || Confidence: 24.38 || PSafe: 0.93 
Frame: 261 || Prediction: 999 || Confidence: 18.50 || PSafe: 0.93 
Frame: 262 || Prediction: 999 || Confidence: 24.33 || PSafe: 0.93 
Frame: 263 || Prediction: 999 || Confidence: 23.87 || PSafe: 0.93 
Frame: 264 || Prediction: 999 || Confidence: 22.96 || PSafe: 0.93 
Frame: 265 || Prediction: 999 || Confidence: 41.89 || PSafe: 0.93 
Frame: 266 || Prediction: 999 || Confidence: 29.98 || PSafe: 0.93 
Frame: 267 || Prediction: 999 || Confidence: 27.63 || PSafe: 0.93 
Frame: 268 || Prediction: 999 || Confidence: 35.84 || PSafe: 0.93 
Frame: 269 || Prediction: 999 || Confidence: 38.39 || PSafe: 0.92 
Frame: 270 || Prediction: 999 || Confidence: 37.19 || PSafe: 0.92 
Frame: 271 || Prediction: 999 || Confidence: 37.50 || PSafe: 0.92 
Frame: 272 || Prediction: 999 || Confidence: 28.05 || PSafe: 0.92 
Frame: 273 || Prediction: 999 || Confidence: 28.49 || PSafe: 0.92 
Frame: 274 || Prediction: 999 || Confidence: 26.17 || PSafe: 0.92 
Frame: 275 || Prediction: 999 || Confidence: 31.24 || PSafe: 0.92 
Frame: 276 || Prediction: 999 || Confidence: 28.45 || PSafe: 0.92 
Frame: 277 || Prediction: 999 || Confidence: 18.16 || PSafe: 0.92 
Frame: 278 || Prediction: 999 || Confidence: 17.80 || PSafe: 0.92 
Frame: 279 || Prediction: 999 || Confidence: 19.06 || PSafe: 0.92 
Frame: 280 || Prediction: 999 || Confidence: 20.36 || PSafe: 0.92 
Frame: 281 || Prediction: 999 || Confidence: 18.02 || PSafe: 0.92 
Frame: 282 || Prediction: 999 || Confidence: 17.57 || PSafe: 0.92 
Frame: 283 || Prediction: 999 || Confidence: 17.96 || PSafe: 0.92 
Frame: 284 || Prediction: 999 || Confidence: 18.19 || PSafe: 0.92 
Frame: 285 || Prediction: 999 || Confidence: 18.51 || PSafe: 0.92 
Frame: 286 || Prediction: 999 || Confidence: 19.46 || PSafe: 0.92 
Frame: 287 || Prediction: 999 || Confidence: 19.76 || PSafe: 0.93 
Frame: 288 || Prediction: 999 || Confidence: 18.25 || PSafe: 0.93 
Frame: 289 || Prediction: 999 || Confidence: 18.08 || PSafe: 0.93 
Frame: 290 || Prediction: 999 || Confidence: 17.18 || PSafe: 0.93 
Frame: 291 || Prediction: 999 || Confidence: 17.15 || PSafe: 0.93 
Frame: 292 || Prediction: 999 || Confidence: 20.31 || PSafe: 0.93 
Frame: 293 || Prediction: 999 || Confidence: 21.58 || PSafe: 0.93 
Frame: 294 || Prediction: 999 || Confidence: 23.09 || PSafe: 0.93 
Frame: 295 || Prediction: 999 || Confidence: 31.90 || PSafe: 0.93 
Frame: 296 || Prediction: 999 || Confidence: 30.72 || PSafe: 0.93 
Frame: 297 || Prediction: 999 || Confidence: 24.12 || PSafe: 0.93 
Frame: 298 || Prediction: 999 || Confidence: 20.83 || PSafe: 0.93 
Frame: 299 || Prediction: 999 || Confidence: 27.16 || PSafe: 0.93 
Frame: 300 || Prediction: 999 || Confidence: 27.20 || PSafe: 0.93 
Frame: 301 || Prediction: 999 || Confidence: 22.96 || PSafe: 0.93 
Frame: 302 || Prediction: 999 || Confidence: 28.67 || PSafe: 0.93 
Frame: 303 || Prediction: 999 || Confidence: 29.91 || PSafe: 0.93 
Frame: 304 || Prediction: 999 || Confidence: 19.79 || PSafe: 0.93 
Frame: 305 || Prediction: 999 || Confidence: 17.40 || PSafe: 0.93 
Frame: 306 || Prediction: 999 || Confidence: 21.65 || PSafe: 0.93 
Frame: 307 || Prediction: 999 || Confidence: 25.17 || PSafe: 0.93 
Frame: 308 || Prediction: 999 || Confidence: 26.86 || PSafe: 0.93 
Frame: 309 || Prediction: 999 || Confidence: 32.81 || PSafe: 0.93 
Frame: 310 || Prediction: 999 || Confidence: 18.85 || PSafe: 0.93 
Frame: 311 || Prediction: 999 || Confidence: 17.76 || PSafe: 0.93 
